"Part Name","Browser Path","Parent Folder","Part Number","Quantity","Description","Volume (mm^3)","Area (mm^2)","Mass (g)","Material","Length (mm)","Width (mm)","Height (mm)","Center of Mass (mm)"
"N_seite_seite","nord:1+N_seite_seite:1","schrank_flur","N_seite_seite","1","","9749470.0","1119778.0","7799.576","rot","230.0","2231.0","19.0","1655.0, 1115.5, 3490.5"
"N_links","nord:1+N_links:1","schrank_flur","N_links","1","","25984457.0","2843278.0","20787.566","rot","19.0","2231.0","613.0","1530.5, 1115.5, 3787.5"
"N_boden","nord:1+N_boden:1","schrank_flur","N_boden","1","","17493794.0","1921822.0","13995.035","rot","1502.0","19.0","613.0","770.0, 79.5, 3787.5"
"N_deckel","nord:1+N_deckel:1","schrank_flur","N_deckel","1","","20641410.0","2263562.0","16513.128","rot","1770.0","19.0","619.0","885.978, 2240.5, 3787.893"
"N_rueckwand","nord:1+N_rueckwand:1","schrank_flur","N_rueckwand","1","","20790000.0","6975480.0","16632.0","weiss_matt","1540.0","2250.0","6.0","770.0, 1125.0, 4097.0"
"N_bodenleiste","nord:1+N_bodenleiste:1","schrank_flur","N_bodenleiste","1","","1997660.0","270016.0","1598.128","mintgruen","1502.0","70.0","19.0","770.0, 35.0, 3559.5"
"N_rechts","nord:1+N_rechts:1","schrank_flur","N_rechts","1","","25984457.0","2843278.0","20787.566","rot","19.0","2231.0","613.0","9.5, 1115.5, 3787.5"
"N_fachboden_breit","nord:1+N_fachboden_breit:1","schrank_flur","N_fachboden_breit","1","","11265309.0","1246324.333","9012.247","weiss_matt","998.167","19.0","594.0","518.083, 1324.146, 3797.0"
"N_fachboden_seite","nord:1+N_fachboden_seite:1","schrank_flur","N_fachboden_seite","1","","2428580.0","286078.0","1942.864","rot","220.0","19.0","581.0","1650.0, 340.5, 3790.5"
"N_fachboden_schmal","nord:1+N_fachboden_schmal:1","schrank_flur","N_fachboden_schmal","1","","5471829.0","616977.667","4377.463","weiss_matt","484.833","19.0","594.0","1278.583, 1376.75, 3797.0"
"N_mitte","nord:1+N_mitte:1","schrank_flur","N_mitte","1","","24947874.0","2730782.0","19958.299","rot","19.0","2142.0","613.0","1026.667, 1160.0, 3787.5"
"nord","nord:1","schrank_flur","nord","1","","69488262.789","7818054.119","545482.863","Steel","1749.5","2231.0","619.0","1166.967, 1138.917, 3910.374"
"S_fachboden_rechts_seicht","sued:1+S_fachboden_rechts_seicht:3","schrank_flur","S_fachboden_rechts_seicht","3","","2404288.5","281424.667","1923.431","weiss_matt","484.833","19.0","261.0",""
"S_mitte_hinten","sued:1+S_mitte_hinten:1","schrank_flur","S_mitte_hinten","1","","16347144.31","1795633.856","13077.715","rot","19.0","1317.574","653.0","1026.667, 747.787, 332.5"
"S_fachboden_rechts_tief","sued:1+S_fachboden_rechts_tief:1","schrank_flur","S_fachboden_rechts_tief","1","","8419615.667","939431.0","6735.693","weiss_matt","484.833","19.0","914.0","1278.583, 882.744, 463.0"
"S_fussleiste","sued:1+S_fussleiste:1","schrank_flur","S_fussleiste","1","","1997660.0","270016.0","1598.128","mintgruen","1502.0","70.0","19.0","770.0, 35.0, 860.5"
